user_id,mpin,pin_length,dob_self,dob_spouse,dob_pet,anniversary_date,label,reason_if_weak,jumbled_self,jumbled_spouse,jumbled_pet,jumbled_anniversary
U0125,1234,4,1984-01-07,1985-07-09,2018-06-08,2019-04-20,WEAK,COMMON_PATTERN,0107|8401|8407|0701|1984,8507|8509|0709|0907|1985,0806|1806|0608|2018|1808,0420|2004|2019|1920|1904
U0126,4782,4,1987-12-16,1985-04-17,2022-04-02,1997-08-09,STRONG,,1612|1216|8712|1987|8716,0417|1704|8517|8504|1985,2022|0204|2204|2202|0402,9708|9709|0809|1997|0908
U0127,7111,4,1973-10-09,1971-11-15,2024-12-18,2015-04-07,WEAK,DEMOGRAPHIC_SPOUSE,0910|7310|7309|1973|1009,7111|1511|1115|1971|7115,1218|2412|1812|2024|2418,1504|0704|1507|0407|2015
U0128,8890,4,1998-02-20,1998-10-27,2022-10-17,2012-07-19,STRONG,,0220|1998|9802|9820|2002,9827|1998|2710|9810|1027,2022|1017|2210|2217|1710,1207|1907|1219|2012|0719
U0129,6070,4,1972-02-09,1977-10-17,2013-07-30,2005-06-09,STRONG,,0902|7209|0209|1972|7202,7717|7710|1017|1710|1977,1307|2013|1330|0730|3007,0506|0906|0609|0509|2005
U0130,9611,4,1986-05-22,1985-05-16,2012-07-21,1996-11-10,WEAK,DEMOGRAPHIC_ANNIVERSARY,2205|8622|1986|0522|8605,0516|8516|1605|8505|1985,1207|2107|1221|2012|0721,9610|1996|9611|1110|1011
U0131,1986,4,1986-02-11,1982-04-23,2014-06-16,2019-11-10,WEAK,DEMOGRAPHIC_SELF,1102|1986|0211|8611|8602,8204|0423|2304|8223|1982,1406|1606|1416|0616|2014,2019|1910|1110|1011|1911
U0132,6109,4,1997-01-16,1999-07-05,2010-08-16,2019-05-01,STRONG,,0116|9701|9716|1601|1997,9907|0507|1999|9905|0705,2010|1016|1008|0816|1608,1905|2019|0105|1901|0501
U0133,3873,4,1973-09-22,1972-06-26,2016-10-03,2018-09-11,STRONG,,7322|0922|1973|7309|2209,7206|0626|2606|1972|7226,0310|2016|1610|1003|1603,0911|2018|1809|1811|1109
U0134,1234,4,1986-05-18,1985-09-21,2020-10-21,2007-07-06,WEAK,COMMON_PATTERN,1986|8618|1805|0518|8605,1985|0921|8509|8521|2109,2010|2021|1021|2110|2020,2007|0607|0707|0706
U0135,8628,4,1991-04-18,1986-09-28,2011-06-08,2003-08-06,WEAK,DEMOGRAPHIC_SPOUSE,9104|1804|9118|0418|1991,2809|0928|8609|1986|8628,0806|1108|0608|1106|2011,0308|0806|0306|0608|2003
U0136,1675,4,1992-03-07,1990-02-20,2018-10-19,2010-04-24,STRONG,,9207|0703|1992|9203|0307,0220|1990|9020|9002|2002,1810|1910|2018|1019|1819,2010|0424|1004|2404|1024
U0137,7777,4,1995-10-22,1992-02-22,2023-01-03,2022-10-10,WEAK,COMMON_PATTERN,9522|1995|1022|2210|9510,9202|1992|9222|0222|2202,0301|2301|2303|0103|2023,1010|2210|2022
U0138,7001,4,1984-10-20,1980-06-06,2011-12-17,2016-03-29,STRONG,,2010|8410|8420|1020|1984,8006|0606|1980,1217|1112|1712|2011|1117,2016|2903|0329|1603|1629
U0139,9529,4,1995-03-20,1995-07-29,2023-11-23,2023-01-07,WEAK,DEMOGRAPHIC_SPOUSE,9520|1995|0320|9503|2003,2907|9507|1995|0729|9529,2311|1123|2023|2323,0107|2301|2307|0701|2023
U0140,2580,4,1972-06-08,1975-11-06,2019-03-21,2016-10-03,WEAK,COMMON_PATTERN,7206|0806|0608|7208|1972,1975|7506|0611|7511|1106,2103|2019|1921|1903|0321,0310|2016|1610|1003|1603
U0141,2019,4,1976-09-30,1972-01-03,2019-07-26,2009-09-07,WEAK,DEMOGRAPHIC_PET,7609|1976|3009|7630|0930,7201|7203|0301|0103|1972,0726|2019|1907|2607|1926,2009|0909|0709|0907
U0142,0314,4,1992-05-31,1994-01-31,2024-03-14,2012-06-07,WEAK,DEMOGRAPHIC_PET,0531|1992|3105|9205|9231,0131|3101|1994|9401|9431,2403|2414|1403|0314|2024,1207|1206|2012|0607|0706
U0143,7574,4,1984-11-04,1979-01-01,2017-12-19,2006-07-06,STRONG,,0411|1104|8411|8404|1984,7901|1979|0101,1219|1912|1712|1719|2017,0607|0606|0706|2006
U0144,9164,4,1999-06-29,1997-11-25,2019-05-01,2006-02-24,STRONG,,0629|2906|9929|1999|9906,2511|9725|1997|9711|1125,1905|2019|0105|1901|0501,2006|0602|0224|0624|2402
U0145,9718,4,1994-09-28,1997-02-18,2014-07-15,2005-07-12,WEAK,DEMOGRAPHIC_SPOUSE,0928|2809|9409|1994|9428,9702|9718|1802|1997|0218,1407|1415|0715|1507|2014,1207|0507|0712|0512|2005
U0146,1212,4,1985-03-04,1988-12-19,2024-01-28,2012-11-29,WEAK,COMMON_PATTERN,0403|8504|8503|0304|1985,1219|1912|8812|8819|1988,2801|0128|2428|2401|2024,2012|1129|1229|2911|1211
U0147,1208,4,1992-10-27,1987-10-23,2011-07-03,2001-12-13,STRONG,,9227|9210|2710|1992|1027,2310|1987|8723|1023|8710,1107|1103|0703|2011|0307,1213|0112|1312|2001|0113
U0148,7506,4,1980-09-15,1975-06-06,2019-06-04,2016-03-05,WEAK,DEMOGRAPHIC_SPOUSE,8009|8015|1509|1980|0915,7506|1975|0606,1906|2019|0406|0604|1904,2016|0503|0305|1605|1603
U0149,8016,4,1988-07-21,1992-08-17,2024-03-21,2012-12-30,STRONG,,2107|0721|8807|8821|1988,0817|1708|1992|9217|9208,2403|2103|0321|2024|2421,1230|3012|1212|2012
U0150,8015,4,1977-04-02,1979-03-26,2024-03-20,2005-09-28,STRONG,,7702|0204|1977|7704|0402,7903|7926|0326|2603|1979,2403|2024|0320|2420|2003,0928|2809|0528|0509|2005
U0151,5146,4,1973-02-15,1973-07-24,2012-11-10,2005-05-29,STRONG,,7302|1502|1973|7315|0215,7324|2407|1973|7307|0724,1210|2012|1110|1211|1011,0505|0529|2005|2905
U0152,7608,4,1976-08-09,1976-06-25,2016-11-06,1998-10-07,WEAK,DEMOGRAPHIC_SELF,7608|7609|1976|0809|0908,1976|0625|2506|7606|7625,1606|0611|2016|1106|1611,9807|1007|1998|0710|9810
U0153,7298,4,1993-02-27,1996-11-12,2010-08-25,1995-12-17,STRONG,,9327|1993|0227|9302|2702,1996|9611|1112|9612|1211,1025|2010|1008|2508|0825,9517|1217|9512|1995|1712
U0154,0924,4,1975-09-05,1979-02-02,2012-02-02,2007-09-24,WEAK,DEMOGRAPHIC_ANNIVERSARY,1975|0905|7505|0509|7509,1979|7902|0202,2012|1202|0202,0724|2409|2007|0924|0709
U0155,7309,4,1973-05-09,1970-10-26,2012-05-18,2018-09-04,WEAK,DEMOGRAPHIC_SELF,0905|7305|1973|7309|0509,1970|7026|2610|7010|1026,1218|1205|2012|1805|0518,0409|0904|1804|2018|1809
U0156,7349,4,1988-09-04,1985-10-13,2011-05-04,2001-09-10,STRONG,,8804|0409|0904|8809|1988,1310|1013|8513|8510|1985,1105|1104|2011|0504|0405,0910|2001|0109|1009|0110
U0157,2008,4,1975-02-08,1974-10-11,2024-08-18,2008-02-25,WEAK,DEMOGRAPHIC_ANNIVERSARY,0208|1975|7508|0802|7502,7410|1974|7411|1110|1011,2408|1808|2024|2418|0818,2008|0825|0802|2502|0225
U0158,1110,4,1974-09-18,1979-10-07,2010-10-11,1995-06-18,WEAK,DEMOGRAPHIC_PET,7409|7418|0918|1974|1809,1007|7907|0710|7910|1979,1010|1110|1011|2010,1806|1995|9518|0618|9506
U0159,1169,4,1988-03-12,1987-07-10,2024-07-28,2002-05-11,STRONG,,8803|1203|8812|0312|1988,8707|1007|1987|0710|8710,0728|2807|2407|2428|2024,0211|1105|0511|0205|2002
U0160,7903,4,1972-09-24,1968-03-03,2010-12-02,2014-11-03,STRONG,,2409|7209|7224|1972|0924,1968|6803|0303,2010|0212|1002|1202|1012,0311|1103|1403|2014|1411
U0161,0612,4,1978-12-01,1982-05-22,2021-12-06,2015-02-01,WEAK,DEMOGRAPHIC_PET,1201|7812|1978|0112|7801,2205|0522|8205|8222|1982,2021|2106|1206|0612|2112,0102|1502|0201|1501|2015
U0162,0000,4,1991-11-28,1994-08-02,2018-08-05,2002-05-09,WEAK,COMMON_PATTERN,1128|2811|9111|1991|9128,0208|1994|0802|9408|9402,0508|0805|2018|1805|1808,0209|0905|0205|0509|2002
U0163,0404,4,1971-02-01,1974-07-16,2019-06-26,2000-04-04,WEAK,DEMOGRAPHIC_ANNIVERSARY,0102|0201|1971|7102|7101,1607|1974|7416|0716|7407,1906|2019|0626|2606|1926,0004|2000|0404
U0164,0024,4,1977-03-06,1978-02-19,2019-11-28,2021-09-16,STRONG,,0306|7706|7703|1977|0603,7802|1978|7819|0219|1902,1128|2019|1928|2811|1911,0916|1609|2021|2109|2116
U0165,8903,4,1981-08-11,1986-11-12,2022-08-08,2023-11-20,STRONG,,1981|8108|1108|0811|8111,8612|1986|1112|8611|1211,0808|2022|2208,1120|2320|2011|2311|2023
U0166,7453,4,1995-11-19,1991-03-12,2012-08-11,2022-06-20,STRONG,,9511|9519|1995|1119|1911,1203|9103|9112|0312|1991,1108|0811|2012|1208|1211,2220|2006|2206|0620|2022
U0167,0304,4,1973-10-10,1969-10-30,2015-03-04,2003-11-25,WEAK,DEMOGRAPHIC_PET,7310|1973|1010,1969|3010|6930|6910|1030,1504|0403|1503|0304|2015,0311|2511|0325|2003|1125
U0168,2411,4,1974-06-20,1973-07-08,2024-08-11,2011-08-30,WEAK,DEMOGRAPHIC_PET,7420|2006|1974|0620|7406,7308|0807|1973|7307|0708,2411|1108|0811|2408|2024,1130|0830|1108|3008|2011
U0169,9611,4,1996-11-21,1995-04-26,2015-04-26,2010-09-15,WEAK,DEMOGRAPHIC_SELF,1996|2111|9611|1121|9621,0426|1995|9504|9526|2604,1504|0426|1526|2604|2015,2010|1509|1015|0915|1009
U0170,2580,4,1972-07-22,1967-04-26,2017-06-25,2013-05-24,WEAK,COMMON_PATTERN,2207|7207|7222|1972|0722,0426|1967|6704|6726|2604,0625|1706|2506|1725|2017,0524|2013|2405|1305|1324
U0171,8827,4,1990-06-20,1988-03-27,2013-07-07,2009-06-29,WEAK,DEMOGRAPHIC_SPOUSE,1990|9020|2006|9006|0620,8803|8827|2703|0327|1988,2013|1307|0707,0629|2906|2009|0929|0906
U0172,1111,4,1981-12-26,1981-05-26,2023-02-20,1997-06-03,WEAK,COMMON_PATTERN,8126|1981|8112|2612|1226,2605|8126|1981|8105|0526,0220|2320|2302|2023|2002,0306|1997|9706|9703|0603
U0173,4117,4,1973-09-12,1968-10-16,2012-12-03,2006-12-24,STRONG,,0912|1973|7312|7309|1209,1968|1016|6810|6816|1610,2012|1203|1212|0312,2006|2412|1224|0612|0624
U0174,6159,4,1995-06-22,1999-11-11,2014-10-06,2006-05-08,STRONG,,9522|0622|1995|2206|9506,1999|1111|9911,1410|1006|1406|0610|2014,2006|0605|0508|0805|0608
U0175,2014,4,1991-03-27,1995-08-27,2014-03-02,2020-01-16,WEAK,DEMOGRAPHIC_PET,2703|9103|0327|1991|9127,2708|9527|9508|1995|0827,0302|1403|2014|0203|1402,0116|2016|1601|2001|2020
U0176,1212,4,1974-08-31,1970-07-17,2021-07-31,1999-06-27,WEAK,COMMON_PATTERN,0831|3108|7431|1974|7408,1707|1970|0717|7007|7017,2021|2107|2131|0731|3107,0627|2706|9927|1999|9906
U0177,8753,4,1975-02-19,1977-09-30,2013-03-02,2005-03-13,STRONG,,1975|7519|7502|0219|1902,7709|7730|3009|0930|1977,0302|1302|2013|1303|0203,0503|1303|0513|2005|0313
U0178,1501,4,1985-04-17,1983-01-15,2020-11-02,1999-05-23,WEAK,DEMOGRAPHIC_SPOUSE,0417|1704|8517|8504|1985,8315|1983|8301|1501|0115,1102|0211|2011|2020|2002,0523|9923|2305|1999|9905
U0179,5226,4,1994-10-14,1990-03-24,2012-02-17,2008-10-06,STRONG,,1410|1014|9410|1994|9414,1990|2403|9024|0324|9003,1217|2012|1202|1702|0217,1006|0806|0810|2008|0610
U0180,7905,4,1979-05-04,1974-04-03,2011-07-10,1995-11-06,WEAK,DEMOGRAPHIC_SELF,7904|0504|1979|0405|7905,7404|1974|7403|0403|0304,1107|1007|0710|1110|2011,0611|9511|1995|1106|9506
U0181,7697,4,1972-01-23,1969-11-23,2016-03-11,2023-01-01,STRONG,,7201|0123|7223|1972|2301,1969|6923|6911|2311|1123,0311|1103|2016|1611|1603,2023|2301|0101
U0182,2580,4,1975-01-20,1975-07-16,2015-06-29,1995-08-23,WEAK,COMMON_PATTERN,1975|0120|7520|2001|7501,1975|1607|7507|7516|0716,0629|2906|1506|1529|2015,9508|2308|0823|1995|9523
U0183,1234,4,1999-05-16,1996-05-30,2022-05-14,1995-11-16,WEAK,COMMON_PATTERN,0516|1999|9905|9916|1605,1996|3005|9605|0530|9630,2205|0514|1405|2214|2022,9511|1995|9516|1611|1116
U0184,1105,4,1990-05-17,1991-08-15,2011-05-18,2004-01-12,WEAK,DEMOGRAPHIC_PET,1990|1705|9005|9017|0517,1508|9115|0815|9108|1991,1105|1805|1118|2011|0518,1201|2004|0401|0112|0412
U0185,7517,4,1971-09-30,1968-01-20,2010-10-26,2004-09-09,STRONG,,1971|3009|7109|7130|0930,1968|0120|6801|6820|2001,1010|1026|2610|2010,0909|0409|2004
U0186,2311,4,2001-11-23,2006-12-25,2021-11-11,1998-12-13,WEAK,DEMOGRAPHIC_SELF,0123|2001|0111|2311|1123,2006|0625|2512|0612|1225,2111|1111|2021,1213|1998|9813|1312|9812
U0187,8362,4,2001-07-08,2005-06-26,2013-11-17,2001-06-14,STRONG,,0108|0107|0807|2001|0708,0506|0526|0626|2606|2005,1317|2013|1311|1711|1117,1406|0114|2001|0106|0614
U0188,6944,4,1972-03-18,1975-06-23,2016-07-01,2016-05-03,STRONG,,7203|0318|7218|1972|1803,7506|1975|7523|0623|2306,0107|1607|2016|1601|0701,2016|0503|0305|1605|1603
U0189,1212,4,1989-07-01,1990-04-09,2011-07-29,2011-11-22,WEAK,COMMON_PATTERN,8907|8901|0107|0701|1989,1990|0409|0904|9004|9009,2907|1107|0729|2011|1129,2211|1122|1111|2011
U0190,4501,4,1977-04-01,1978-01-07,2013-08-20,2013-08-27,STRONG,,7701|0401|0104|1977|7704,0107|7807|1978|7801|0701,1320|2013|2008|0820|1308,2708|1327|2013|1308|0827
U0191,0320,4,1993-05-11,1996-03-20,2022-02-21,1998-05-11,WEAK,DEMOGRAPHIC_SPOUSE,9305|1105|0511|1993|9311,9620|1996|0320|9603|2003,2102|0221|2022|2221|2202,9805|9811|0511|1998|1105
U0192,1430,4,1984-05-18,1984-07-28,2011-07-28,1999-01-17,STRONG,,8405|1805|8418|0518|1984,0728|2807|8407|8428|1984,1128|1107|0728|2807|2011,9917|1701|0117|9901|1999
U0193,8218,4,1980-04-21,1982-11-18,2010-11-23,2003-10-16,WEAK,DEMOGRAPHIC_SPOUSE,8021|8004|2104|0421|1980,8211|8218|1118|1982|1811,2010|1023|2311|1123|1011,1016|0310|0316|1610|2003
U0194,1304,4,1976-06-03,1971-11-08,2018-01-22,2014-04-13,WEAK,DEMOGRAPHIC_ANNIVERSARY,0306|1976|7603|7606|0603,7111|1108|1971|0811|7108,0122|1822|2018|1801|2201,0413|1413|1304|1404|2014
U0195,1789,4,1987-08-21,1990-10-02,2017-02-08,2002-01-24,STRONG,,0821|1987|8708|8721|2108,1990|9010|0210|1002|9002,0208|1708|0802|1702|2017,0201|0224|2401|0124|2002
U0196,7777,4,1973-01-28,1970-04-30,2014-04-24,2002-09-13,WEAK,COMMON_PATTERN,2801|0128|1973|7301|7328,7030|0430|1970|7004|3004,0424|1424|1404|2404|2014,0213|0913|1309|0209|2002
U0197,2799,4,2002-07-11,2003-09-11,2021-06-08,2019-05-11,STRONG,,1107|0211|0711|0207|2002,0311|0911|0309|1109|2003,0806|2021|2106|0608|2108,1905|2019|1105|0511|1911
U0198,0000,4,1972-01-29,1970-03-25,2014-01-09,2008-11-29,WEAK,COMMON_PATTERN,7201|0129|2901|7229|1972,1970|0325|7003|7025|2503,1409|1401|2014|0109|0901,0829|0811|2008|1129|2911
U0199,0000,4,1979-02-08,1976-03-04,2018-05-23,2006-07-12,WEAK,COMMON_PATTERN,0208|7902|0802|7908|1979,1976|7604|7603|0403|0304,0523|2305|2018|1805|1823,1207|2006|0612|0712|0607
U0200,2002,4,2003-03-02,2008-07-28,2016-04-23,2002-03-23,WEAK,DEMOGRAPHIC_ANNIVERSARY,0302|0203|0303|2003,0728|2807|0807|0828|2008,1604|2016|1623|0423|2304,0203|0223|2303|0323|2002
U0201,1226,4,1981-12-26,1977-01-16,2014-03-28,2003-11-03,WEAK,DEMOGRAPHIC_SELF,8126|1981|8112|2612|1226,7701|7716|0116|1601|1977,2803|0328|1403|2014|1428,0311|1103|2003|0303
U0202,0604,4,1979-01-30,1978-09-08,2010-06-04,1995-02-12,WEAK,DEMOGRAPHIC_PET,7901|0130|7930|3001|1979,7809|7808|1978|0809|0908,2010|1006|0406|1004|0604,0212|9512|1995|1202|9502
U0203,1212,4,1976-03-23,1980-05-21,2017-01-03,2016-01-01,WEAK,COMMON_PATTERN,1976|7603|2303|7623|0323,8005|0521|8021|2105|1980,1703|1701|0301|0103|2017,1601|2016|0101
U0204,0714,4,1985-03-22,1980-06-26,2024-06-21,2016-07-14,WEAK,DEMOGRAPHIC_ANNIVERSARY,2203|8522|8503|0322|1985,8026|8006|1980|0626|2606,2106|0621|2024|2406|2421,1407|1607|2016|1614|0714
U0205,5780,4,1996-12-13,1992-12-31,2013-05-12,2008-04-07,STRONG,,1213|1996|9612|1312|9613,9212|1231|3112|1992|9231,2013|1205|1305|1312|0512,0804|0807|2008|0704|0407
U0206,1111,4,1993-06-07,1988-09-16,2012-12-04,2013-11-24,WEAK,COMMON_PATTERN,1993|9306|9307|0607|0706,0916|1609|8816|8809|1988,2012|0412|1212|1204,2013|2411|1124|1311|1324
U0207,1122,4,1990-11-22,1994-12-28,2013-03-12,2001-05-30,WEAK,DEMOGRAPHIC_SELF,9011|1990|9022|1122|2211,2812|1994|9412|1228|9428,2013|1203|1312|1303|0312,0130|0105|3005|2001|0530
U0208,1995,4,1995-12-18,1997-03-03,2012-10-07,1996-03-19,WEAK,DEMOGRAPHIC_SELF,1218|9512|1995|9518|1812,1997|9703|0303,1007|1207|1210|0710|2012,1996|0319|9619|1903|9603
U0209,8910,4,1994-10-05,1994-09-04,2016-08-10,2021-01-19,STRONG,,9405|0510|9410|1994|1005,0409|9404|0904|9409|1994,0810|1008|2016|1610|1608,2101|2119|2021|1901|0119
U0210,9093,4,1970-05-11,1972-09-28,2015-04-28,2001-06-29,STRONG,,7005|7011|1970|1105|0511,0928|2809|7228|7209|1972,1504|1528|0428|2804|2015,0129|0629|2906|2001|0106
U0211,2010,4,1991-06-13,1989-02-26,2024-01-06,2010-08-13,WEAK,DEMOGRAPHIC_ANNIVERSARY,9106|0613|9113|1306|1991,8902|2602|8926|0226|1989,0601|2401|2024|0106|2406,2010|1013|0813|1008|1308
U0212,4442,4,2003-02-12,2003-02-06,2013-03-25,2022-08-16,STRONG,,0302|0212|1202|0312|2003,0302|0306|0602|0206|2003,1325|2013|0325|1303|2503,2208|0816|2216|2022|1608
U0213,2580,4,1974-07-18,1976-05-14,2011-07-09,2021-12-07,WEAK,COMMON_PATTERN,0718|7418|1807|1974|7407,1976|0514|1405|7614|7605,1107|2011|0709|1109|0907,1207|2021|2107|2112|0712
U0214,0228,4,1977-11-13,1979-04-29,2012-02-15,2014-02-28,WEAK,DEMOGRAPHIC_ANNIVERSARY,1113|7711|1977|1311|7713,7929|7904|2904|0429|1979,1502|2012|1202|1215|0215,0228|2802|2014|1428|1402
U0215,2874,4,1971-10-15,1972-01-01,2020-06-12,2014-12-24,STRONG,,1971|7115|7110|1015|1510,7201|1972|0101,2006|1206|2012|0612|2020,2412|1424|1224|1412|2014
U0216,7777,4,1987-01-22,1985-08-01,2024-08-18,1996-06-29,WEAK,COMMON_PATTERN,1987|0122|8722|8701|2201,0108|8501|8508|0801|1985,2408|1808|2024|2418|0818,0629|2906|1996|9606|9629
U0217,9717,4,1981-09-01,1978-12-16,2018-02-01,1998-02-07,STRONG,,1981|8109|8101|0109|0901,1612|1216|7812|1978|7816,0102|0201|2018|1802|1801,9807|1998|0702|9802|0207
U0218,1985,4,1985-11-01,1983-04-09,2014-12-26,2013-08-03,WEAK,DEMOGRAPHIC_SELF,8511|8501|0111|1101|1985,0409|1983|8304|0904|8309,1426|2612|1412|2014|1226,0308|2013|0803|1303|1308
U0219,1212,4,1972-11-17,1977-02-16,2024-12-09,1998-07-31,WEAK,COMMON_PATTERN,7211|7217|1711|1972|1117,1602|7716|7702|0216|1977,2409|2412|0912|2024|1209,9807|1998|9831|0731|3107
U0220,4155,4,1999-11-08,1994-11-03,2020-12-09,2015-04-14,STRONG,,1108|0811|9911|1999|9908,0311|1103|1994|9403|9411,2009|0912|2012|2020|1209,1504|1514|0414|1404|2015
U0221,1107,4,1989-07-11,1989-05-05,2022-06-03,2020-05-22,WEAK,DEMOGRAPHIC_SELF,1107|8907|8911|0711|1989,0505|8905|1989,0306|2203|2206|2022|0603,2205|0522|2022|2005|2020
U0222,1234,4,2002-03-12,1997-09-01,2023-08-23,1999-03-11,WEAK,COMMON_PATTERN,0212|1203|0312|0203|2002,9709|9701|1997|0109|0901,0823|2023|2323|2308,0311|1103|9911|1999|9903
U0223,1212,4,1983-10-31,1987-10-14,2012-04-03,2006-05-28,WEAK,COMMON_PATTERN,1031|1983|3110|8331|8310,1410|8714|1987|1014|8710,1204|1203|2012|0403|0304,2006|0605|2805|0528|0628
U0224,1695,4,1978-11-11,1977-02-01,2022-09-29,2003-02-14,STRONG,,7811|1978|1111,0102|7701|0201|7702|1977,2229|2909|0929|2022|2209,0302|0214|0314|2003|1402
U0225,7776,4,1984-12-09,1986-11-04,2020-07-15,2019-04-04,STRONG,,0912|8409|8412|1209|1984,1986|0411|1104|8604|8611,0715|1507|2007|2020|2015,2019|1904|0404
U0226,3878,4,1986-07-17,1982-04-25,2024-05-09,2016-04-21,STRONG,,1707|0717|8607|1986|8617,8204|0425|8225|1982|2504,2409|2405|0509|0905|2024,1621|2016|1604|2104|0421
U0227,1610,4,1974-04-28,1973-10-06,2016-12-10,2000-07-10,WEAK,DEMOGRAPHIC_PET,7428|7404|1974|0428|2804,1006|7310|1973|0610|7306,1612|1210|2016|1610|1012,0007|1007|0010|0710|2000
U0228,7041,4,1973-06-29,1978-06-29,2011-12-22,2005-12-01,STRONG,,0629|2906|1973|7306|7329,0629|2906|1978|7829|7806,1112|2011|2212|1122|1222,1201|0112|0512|0501|2005
U0229,1234,4,2003-11-22,2007-09-26,2022-02-16,2005-06-29,WEAK,COMMON_PATTERN,0311|2211|1122|0322|2003,0726|0926|2609|2007|0709,1602|2022|0216|2202|2216,0629|2906|0506|0529|2005
U0230,2580,4,1978-12-31,1981-08-02,2020-04-14,2002-02-26,WEAK,COMMON_PATTERN,7812|7831|1231|1978|3112,0208|1981|8108|8102|0802,2004|0414|1404|2014|2020,0226|0202|2602|2002
U0231,1212,4,1975-11-21,1971-06-09,2016-03-20,2009-02-12,WEAK,COMMON_PATTERN,7521|1975|7511|2111|1121,1971|7106|0609|0906|7109,2016|0320|2003|1620|1603,2009|0902|0212|0912|1202
U0232,5113,4,1979-02-07,1980-05-26,2022-06-04,2015-03-02,STRONG,,7902|7907|0702|0207|1979,8026|8005|2605|0526|1980,0406|2206|0604|2022|2204,0302|1502|1503|0203|2015
U0233,2015,4,1999-02-04,1995-04-16,2015-10-09,2003-12-12,WEAK,DEMOGRAPHIC_PET,1999|9904|0204|9902|0402,0416|1995|1604|9516|9504,0910|1509|1510|1009|2015,0312|1212|2003
U0234,0717,4,1979-12-23,1982-07-17,2023-07-07,2020-07-17,WEAK,"DEMOGRAPHIC_SPOUSE,DEMOGRAPHIC_ANNIVERSARY",7923|2312|7912|1223|1979,1707|8217|0717|1982|8207,2023|0707|2307,1707|0717|2007|2020|2017
U0235,1983,4,1981-05-11,1983-05-04,2024-12-27,2022-12-09,WEAK,DEMOGRAPHIC_SPOUSE,1105|0511|1981|8105|8111,1983|8304|8305|0504|0405,2412|2427|1227|2712|2024,0912|2022|2212|1209|2209
U0236,1995,4,1999-02-02,1996-01-27,2014-01-07,1995-05-22,WEAK,DEMOGRAPHIC_ANNIVERSARY,1999|9902|0202,9627|0127|9601|1996|2701,0107|1407|1401|2014|0701,9505|2205|9522|0522|1995
U0237,2209,4,1989-01-02,1994-01-23,2015-06-09,2022-09-29,WEAK,DEMOGRAPHIC_ANNIVERSARY,8901|0102|8902|0201|1989,1994|0123|9423|9401|2301,1506|0906|0609|1509|2015,2229|2909|0929|2022|2209
U0238,5002,4,1991-05-07,1995-05-06,2021-03-08,2014-01-02,STRONG,,9105|9107|0507|0705|1991,9505|0506|0605|1995|9506,0308|2021|2103|0803|2108,0102|1401|0201|2014|1402
U0239,1912,4,1977-10-11,1978-12-19,2013-12-18,2022-03-18,WEAK,DEMOGRAPHIC_SPOUSE,7711|1977|7710|1110|1011,7812|1978|1219|1912|7819,1218|2013|1318|1812|1312,0318|2218|2203|2022|1803
U0240,1975,4,1976-06-04,1975-01-25,2019-06-06,1996-12-25,WEAK,DEMOGRAPHIC_SPOUSE,1976|0406|7604|0604|7606,0125|1975|7525|2501|7501,1906|0606|2019,1996|2512|9625|9612|1225
U0241,0806,4,1991-09-23,1990-02-01,2015-06-08,2014-05-17,WEAK,DEMOGRAPHIC_PET,9123|0923|2309|9109|1991,1990|0102|0201|9002|9001,0806|1508|1506|0608|2015,1417|1705|1405|0517|2014
U0242,0504,4,2001-05-25,2005-02-04,2020-11-27,2001-12-13,WEAK,DEMOGRAPHIC_SPOUSE,0125|0105|2505|2001|0525,0502|0504|0204|2005|0402,2027|2711|1127|2011|2020,1213|0112|1312|2001|0113
U0243,1711,4,1972-06-05,1967-02-19,2018-01-19,2017-11-17,WEAK,DEMOGRAPHIC_ANNIVERSARY,7206|0506|0605|7205|1972,1967|6719|6702|0219|1902,2018|1901|1801|1819|0119,1711|1717|2017|1117
U0244,7777,4,1990-04-05,1989-11-18,2011-10-30,2004-04-08,WEAK,COMMON_PATTERN,1990|9004|9005|0504|0405,8918|8911|1118|1989|1811,1130|3010|1110|2011|1030,0804|0408|2004|0404
U0245,3004,4,1995-04-30,1990-11-02,2024-06-30,1998-05-24,WEAK,DEMOGRAPHIC_SELF,0430|1995|3004|9504|9530,9011|1102|1990|0211|9002,3006|2430|0630|2024|2406,9805|0524|1998|2405|9824
U0246,1986,4,1986-05-10,1988-11-21,2013-06-11,2015-04-10,WEAK,DEMOGRAPHIC_SELF,0510|1986|8610|1005|8605,2111|8811|1121|8821|1988,0611|2013|1311|1106|1306,1504|1004|0410|1510|2015
U0247,8601,4,1986-07-01,1983-03-02,2013-11-30,1999-03-28,WEAK,DEMOGRAPHIC_SELF,8601|0107|8607|1986|0701,0302|1983|8303|8302|0203,1130|2013|1330|1311|3011,1999|2803|0328|9928|9903
U0248,2404,4,1985-05-10,1981-04-24,2014-08-26,2019-07-10,WEAK,DEMOGRAPHIC_SPOUSE,0510|8510|1005|8505|1985,1981|8104|0424|8124|2404,0826|1408|1426|2608|2014,1007|2019|1907|0710|1910
U0249,3872,4,1982-07-25,1987-06-15,2019-07-13,1999-10-13,STRONG,,0725|8225|1982|2507|8207,8706|1987|1506|0615|8715,1913|1307|0713|2019|1907,1310|1013|9913|1999|9910
